total_sales,onsale_web,price,stock_quantity,stock_status
0.0,0,47.0,0,outofstock
0.0,0,14.1,0,outofstock
0.0,0,73.5,0,outofstock
0.0,0,20.0,0,outofstock
0.0,0,21.5,0,outofstock
0.0,0,10.8,0,outofstock
0.0,0,30.5,3,instock
0.0,0,49.0,1,instock
0.0,0,40.0,3,instock
0.0,1,144.0,0,outofstock
0.0,0,36.9,0,outofstock
0.0,0,23.6,0,outofstock
0.0,0,12.0,48,instock
0.0,0,18.5,0,outofstock
0.0,0,34.5,1,instock
0.0,0,20.5,0,outofstock
0.0,0,23.8,0,outofstock
0.0,0,20.2,0,outofstock
0.0,0,13.5,3,instock
0.0,0,13.8,5,instock
0.0,0,12.7,0,outofstock
0.0,0,14.6,0,outofstock
0.0,0,23.0,0,outofstock
0.0,0,10.0,0,outofstock
0.0,0,8.0,0,outofstock
0.0,0,10.0,0,outofstock
0.0,1,84.7,0,outofstock
0.0,1,43.3,0,outofstock
0.0,0,47.0,62,instock
0.0,0,19.9,1,instock
0.0,0,29.2,0,outofstock
0.0,0,34.2,1,instock
0.0,0,42.5,0,outofstock
0.0,0,14.2,0,outofstock
0.0,0,92.0,18,instock
0.0,0,28.5,0,outofstock
0.0,0,9.1,192,instock
0.0,0,28.0,21,instock
0.0,0,28.0,8,instock
0.0,0,24.0,5,instock
0.0,0,18.0,11,instock
0.0,0,40.0,32,instock
0.0,0,40.0,42,instock
0.0,0,40.0,4,instock
0.0,0,40.0,17,instock
0.0,0,30.0,51,instock
0.0,0,26.0,3,instock
0.0,0,30.0,0,outofstock
0.0,0,20.0,0,outofstock
0.0,0,31.0,6,instock
0.0,0,27.0,54,instock
0.0,0,31.0,22,instock
0.0,0,21.0,3,instock
0.0,0,31.0,12,instock
0.0,0,27.0,8,instock
0.0,0,31.0,14,instock
0.0,0,21.0,7,instock
0.0,0,40.0,5,instock
0.0,0,40.0,10,instock
0.0,0,47.0,37,instock
0.0,0,45.0,12,instock
0.0,0,45.0,17,instock
0.0,0,45.0,7,instock
0.0,0,30.0,8,instock
0.0,0,26.0,2,instock
0.0,0,30.0,91,instock
0.0,0,20.0,53,instock
0.0,0,45.0,19,instock
0.0,0,45.0,22,instock
0.0,0,45.0,26,instock
0.0,0,45.0,7,instock
0.0,0,45.0,3,instock
0.0,0,31.0,1,instock
0.0,0,21.0,5,instock
0.0,0,27.0,1,instock
0.0,0,31.0,42,instock
0.0,0,31.0,51,instock
0.0,0,45.0,29,instock
0.0,0,45.0,3,instock
0.0,0,45.0,43,instock
0.0,0,31.0,28,instock
0.0,0,27.0,14,instock
0.0,0,31.0,5,instock
0.0,0,21.0,1,instock
0.0,0,31.0,55,instock
0.0,0,31.0,6,instock
0.0,0,31.0,18,instock
